,Database,Gene ID,Record Name,Amino Acids,Keywords,SimChrom
Q9ULG1,Gene Ontology,INO80_HUMAN,Chromatin-remodeling ATPase INO80 {ECO:0000305},1556,3D-structure; Acetylation; Actin-binding; ATP-binding; Cell cycle;Cell division; Chromosome; Cytoplasm; Cytoskeleton; DNA damage;DNA recombination; DNA repair; DNA-binding; Host-virus interaction;Hydrolase; Microtubule; Mitosis; Nucleotide-binding; Nucleus;Phosphoprotein; Reference proteome.,Chromatin remodelers;DNA repair;Telomere-associated;DNA-modifying enzymes
Q9UMN6,Gene Ontology,KMT2B_HUMAN,Histone-lysine N-methyltransferase 2B,2715,3D-structure; Acetylation; Chromatin regulator; Disease variant;DNA-binding; Dystonia; Intellectual disability; Isopeptide bond;Metal-binding; Methyltransferase; Nucleus; Phosphoprotein;Reference proteome; Repeat; S-adenosyl-L-methionine; Transcription;Transcription regulation; Transferase; Ubl conjugation; Zinc; Zinc-finger.,Histone modification
Q16610,BioGRID,ECM1_HUMAN,Extracellular matrix protein 1,540,Alternative splicing; Angiogenesis; Biomineralization; Disease variant;Extracellular matrix; Glycoprotein; Mineral balance; Osteogenesis;Reference proteome; Repeat; Secreted; Signal.,
Q9H9G7,STRING,AGO3_HUMAN,Protein argonaute-3 {ECO:0000255|HAMAP-Rule:MF_03032},860,3D-structure; Acetylation; Alternative splicing; Cytoplasm; Endonuclease;Hydrolase; Metal-binding; Nuclease; Phosphoprotein; Reference proteome;Ribonucleoprotein; RNA-binding; RNA-mediated gene silencing;Translation regulation; Ubl conjugation.,
Q9UHX1,Gene Ontology,PUF60_HUMAN,Poly(U)-binding-splicing factor PUF60 {ECO:0000312|HGNC:HGNC:17042},559,3D-structure; Acetylation; Alternative splicing; Apoptosis;Direct protein sequencing; Disease variant; DNA-binding; Isopeptide bond;mRNA processing; mRNA splicing; Nucleus; Phosphoprotein;Reference proteome; Repeat; Repressor; Ribonucleoprotein; RNA-binding;Transcription; Transcription regulation; Ubl conjugation.,RNA processing
Q01538,Gene Ontology,MYT1_HUMAN,Myelin transcription factor 1,1121,3D-structure; Alternative splicing; Developmental protein; Differentiation;DNA-binding; Metal-binding; Neurogenesis; Nucleus; Reference proteome;Repeat; Transcription; Transcription regulation; Zinc; Zinc-finger.,DNA-binding transcription factors
P55316,Gene Ontology,FOXG1_HUMAN,Forkhead box protein G1,489,3D-structure; Developmental protein; Disease variant; DNA-binding;Intellectual disability; Nucleus; Reference proteome; Transcription;Transcription regulation.,DNA-binding transcription factors
Q15019,BioGRID,SEPT2_HUMAN,Septin-2,361,3D-structure; Acetylation; Alternative splicing; Cell cycle; Cell division;Cell membrane; Cell projection; Centromere; Chromosome; Cilium; Cytoplasm;Cytoskeleton; Differentiation; Direct protein sequencing; Flagellum;GTP-binding; Kinetochore; Membrane; Mitosis; Nucleotide-binding;Phosphoprotein; Reference proteome; Spermatogenesis.,Centromere-associated
P98175,Gene Ontology,RBM10_HUMAN,RNA-binding protein 10 {ECO:0000305},930,3D-structure; Acetylation; Alternative initiation; Alternative splicing;Metal-binding; Methylation; mRNA processing; mRNA splicing; Nucleus;Phosphoprotein; Reference proteome; Repeat; RNA-binding; Zinc; Zinc-finger.,RNA processing
P63104,BioGRID,1433Z_HUMAN,14-3-3 protein zeta/delta,245,3D-structure; Acetylation; Alternative splicing; Cytoplasm;Direct protein sequencing; Disease variant; Host-virus interaction;Phosphoprotein; Reference proteome.,
Q9HBU1,Gene Ontology,BARX1_HUMAN,Homeobox protein BarH-like 1,254,3D-structure; Alternative splicing; DNA-binding; Homeobox; Nucleus;Reference proteome; Transcription; Transcription regulation.,DNA-binding transcription factors
P78346,BioGRID,RPP30_HUMAN,Ribonuclease P protein subunit p30,268,3D-structure; Acetylation; Alternative splicing; Direct protein sequencing;Nucleus; Phosphoprotein; Reference proteome; RNA-binding; rRNA processing;tRNA processing.,RNA processing
Q9UBC3,Gene Ontology,DNM3B_HUMAN,DNA (cytosine-5)-methyltransferase 3B,853,3D-structure; Activator; Alternative splicing; Citrullination;Disease variant; DNA-binding; Isopeptide bond; Metal-binding;Methyltransferase; Nucleus; Phosphoprotein; Reference proteome; Repressor;S-adenosyl-L-methionine; Transferase; Ubl conjugation; Zinc; Zinc-finger.,DNA-modifying enzymes;DNA de_methylation
P29279,BioGRID,CCN2_HUMAN,CCN family member 2 {ECO:0000305},349,Alternative splicing; Cell adhesion; Disulfide bond; DNA synthesis;Extracellular matrix; Glycoprotein; Heparin-binding; Reference proteome;Secreted; Signal.,
O43251,BioGRID,RFOX2_HUMAN,RNA binding protein fox-1 homolog 2,390,3D-structure; Alternative splicing; Cytoplasm; Methylation;mRNA processing; mRNA splicing; Nucleus; Phosphoprotein;Reference proteome; RNA-binding.,RNA processing
P51608,STRING,MECP2_HUMAN,Methyl-CpG-binding protein 2,486,3D-structure; Acetylation; Alternative splicing; Autism;Autism spectrum disorder; Chromosomal rearrangement; Disease variant;DNA-binding; Intellectual disability; Methylation; Nucleus; Phosphoprotein;Reference proteome; Repeat; Repressor; Transcription;Transcription regulation.,Heterochromatin-associated;Methylated DNA binding
P26599,Gene Ontology,PTBP1_HUMAN,Polypyrimidine tract-binding protein 1,557,3D-structure; Acetylation; Activator; Alternative splicing;Direct protein sequencing; Isopeptide bond; mRNA processing; mRNA splicing;Nucleus; Phosphoprotein; Reference proteome; Repeat; Repressor;RNA-binding; Ubl conjugation.,RNA processing
O43298,Gene Ontology,ZBT43_HUMAN,Zinc finger and BTB domain-containing protein 43,467,3D-structure; Acetylation; DNA-binding; Isopeptide bond; Metal-binding;Nucleus; Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation; Ubl conjugation; Zinc; Zinc-finger.,DNA-binding transcription factors
Q6PIY7,BioGRID,GLD2_HUMAN,Poly(A) RNA polymerase GLD2 {ECO:0000305},484,Alternative splicing; ATP-binding; Cytoplasm; Magnesium; Manganese;Metal-binding; mRNA processing; Nucleotide-binding; Nucleus;Phosphoprotein; Reference proteome; Transferase.,
P06493,BioGRID,CDK1_HUMAN,Cyclin-dependent kinase 1,297,3D-structure; Acetylation; Alternative splicing; Apoptosis; ATP-binding;Biological rhythms; Cell cycle; Cell division; Cytoplasm; Cytoskeleton;Host cell receptor for virus entry; Host-virus interaction;Isopeptide bond; Kinase; Mitochondrion; Mitosis; Nucleotide-binding;Nucleus; Phosphoprotein; Receptor; Reference proteome;Serine/threonine-protein kinase; Transferase; Ubl conjugation.,Histone modification;DNA replication;Telomere-associated
Q9BQ39,BioGRID,DDX50_HUMAN,ATP-dependent RNA helicase DDX50,737,3D-structure; ATP-binding; Helicase; Hydrolase; Isopeptide bond;Nucleotide-binding; Nucleus; Phosphoprotein; Reference proteome;RNA-binding; Ubl conjugation.,
P60900,BioGRID,PSA6_HUMAN,Proteasome subunit alpha type-6,246,3D-structure; Acetylation; Alternative splicing; Cytoplasm;Direct protein sequencing; Glycoprotein; Nucleus; Phosphoprotein;Proteasome; Reference proteome.,
Q9NYK5,BioGRID,RM39_HUMAN,Large ribosomal subunit protein mL39 {ECO:0000303|PubMed:25278503},338,3D-structure; Acetylation; Alternative splicing; Mitochondrion;Reference proteome; Ribonucleoprotein; Ribosomal protein.,
P62310,BioGRID,LSM3_HUMAN,U6 snRNA-associated Sm-like protein LSm3,102,3D-structure; Acetylation; Direct protein sequencing; mRNA processing;mRNA splicing; Nucleus; Reference proteome; Ribonucleoprotein; RNA-binding;Spliceosome.,
Q9UBB5,Gene Ontology,MBD2_HUMAN,Methyl-CpG-binding domain protein 2 {ECO:0000305},411,3D-structure; Alternative splicing; Chromosome; DNA-binding; Nucleus;Phosphoprotein; Reference proteome; Transcription;Transcription regulation.,Chromatin remodelers;Heterochromatin-associated;Methylated DNA binding
Q9NYV4,BioGRID,CDK12_HUMAN,Cyclin-dependent kinase 12,1490,3D-structure; Alternative splicing; ATP-binding; Chromosomal rearrangement;Host-virus interaction; Isopeptide bond; Kinase; mRNA processing;mRNA splicing; Nucleotide-binding; Nucleus; Phosphoprotein;Reference proteome; Serine/threonine-protein kinase; Transferase;Ubl conjugation.,RNA processing;DNA-templated transcription
