UniProt AC,UniProt ID,Amino Acids,UniProt RecName,UniProt Keywords,Source,SimChrom
Q9ULG1,INO80_HUMAN,1556,Chromatin-remodeling ATPase INO80 {ECO:0000305},3D-structure; Acetylation; Actin-binding; ATP-binding; Cell cycle;Cell division; Chromosome; Cytoplasm; Cytoskeleton; DNA damage;DNA recombination; DNA repair; DNA-binding; Host-virus interaction;Hydrolase; Microtubule; Mitosis; Nucleotide-binding; Nucleus;Phosphoprotein; Reference proteome.,Gene Ontology,Chromatin remodelers;DNA repair;Telomere-associated;DNA-modifying enzymes
Q9Y4I1,MYO5A_HUMAN,1855,Unconventional myosin-Va,3D-structure; Acetylation; Actin-binding; Alternative splicing;ATP-binding; Calmodulin-binding; Coiled coil; Motor protein; Myosin;Nucleotide-binding; Phosphoprotein; Protein transport; Reference proteome;Repeat; Transport.,Gene Ontology,
Q9H840,GEMI7_HUMAN,131,Gem-associated protein 7,3D-structure; Acetylation; Cytoplasm; Direct protein sequencing;mRNA processing; mRNA splicing; Nucleus; Phosphoprotein;Reference proteome.,Gene Ontology,
Q9BYG3,MK67I_HUMAN,293,MKI67 FHA domain-interacting nucleolar phosphoprotein,3D-structure; Acetylation; Chromosome; Direct protein sequencing;Isopeptide bond; Methylation; Nucleus; Phosphoprotein; Reference proteome;RNA-binding; Ubl conjugation.,Gene Ontology,
Q9UMN6,KMT2B_HUMAN,2715,Histone-lysine N-methyltransferase 2B,3D-structure; Acetylation; Chromatin regulator; Disease variant;DNA-binding; Dystonia; Intellectual disability; Isopeptide bond;Metal-binding; Methyltransferase; Nucleus; Phosphoprotein;Reference proteome; Repeat; S-adenosyl-L-methionine; Transcription;Transcription regulation; Transferase; Ubl conjugation; Zinc; Zinc-finger.,Gene Ontology,Histone modification
Q96CX2,KCD12_HUMAN,325,BTB/POZ domain-containing protein KCTD12,3D-structure; Acetylation; Cell membrane; Cell projection; Membrane;Phosphoprotein; Postsynaptic cell membrane; Reference proteome; Synapse.,Gene Ontology,
Q9H9G7,AGO3_HUMAN,860,Protein argonaute-3 {ECO:0000255|HAMAP-Rule:MF_03032},3D-structure; Acetylation; Alternative splicing; Cytoplasm; Endonuclease;Hydrolase; Metal-binding; Nuclease; Phosphoprotein; Reference proteome;Ribonucleoprotein; RNA-binding; RNA-mediated gene silencing;Translation regulation; Ubl conjugation.,Gene Ontology,
P62851,RS25_HUMAN,125,Small ribosomal subunit protein eS25 {ECO:0000303|PubMed:24524803},3D-structure; Acetylation; Cytoplasm; Direct protein sequencing;Reference proteome; Ribonucleoprotein; Ribosomal protein.,Gene Ontology,
Q9UHX1,PUF60_HUMAN,559,Poly(U)-binding-splicing factor PUF60 {ECO:0000312|HGNC:HGNC:17042},3D-structure; Acetylation; Alternative splicing; Apoptosis;Direct protein sequencing; Disease variant; DNA-binding; Isopeptide bond;mRNA processing; mRNA splicing; Nucleus; Phosphoprotein;Reference proteome; Repeat; Repressor; Ribonucleoprotein; RNA-binding;Transcription; Transcription regulation; Ubl conjugation.,Gene Ontology,RNA processing
P52657,T2AG_HUMAN,109,Transcription initiation factor IIA subunit 2,3D-structure; Host-virus interaction; Nucleus; Reference proteome;Transcription; Transcription regulation.,Gene Ontology,Regulation of transcription;General TFs;DNA-templated transcription
Q01538,MYT1_HUMAN,1121,Myelin transcription factor 1,3D-structure; Alternative splicing; Developmental protein; Differentiation;DNA-binding; Metal-binding; Neurogenesis; Nucleus; Reference proteome;Repeat; Transcription; Transcription regulation; Zinc; Zinc-finger.,Gene Ontology,DNA-binding transcription factors
P55316,FOXG1_HUMAN,489,Forkhead box protein G1,3D-structure; Developmental protein; Disease variant; DNA-binding;Intellectual disability; Nucleus; Reference proteome; Transcription;Transcription regulation.,Gene Ontology,DNA-binding transcription factors
P98175,RBM10_HUMAN,930,RNA-binding protein 10 {ECO:0000305},3D-structure; Acetylation; Alternative initiation; Alternative splicing;Metal-binding; Methylation; mRNA processing; mRNA splicing; Nucleus;Phosphoprotein; Reference proteome; Repeat; RNA-binding; Zinc; Zinc-finger.,Gene Ontology,RNA processing
